Flex1,Flex2,Flex3,Flex4,Flex5,Label
398,49,219,227,241,3.5
402,51,218,227,238,3.5
400,53,217,227,241,3.5
401,54,219,226,240,3.5
404,52,220,226,240,3.5
401,52,219,227,241,3.5
401,53,220,227,239,3.5
401,53,220,224,241,3.5
401,54,220,227,240,3.5
400,51,220,227,240,3.5
398,51,219,226,240,3.5
399,50,220,227,240,3.5
399,53,219,228,240,3.5
404,54,219,227,241,3.5
400,54,220,225,244,3.5
404,52,220,227,243,3.5
403,55,220,228,243,3.5
401,55,220,226,243,3.5
403,55,220,227,242,3.5
399,54,220,227,244,3.5
400,52,220,227,244,3.5
402,54,220,227,243,3.5
401,54,220,227,244,3.5
403,54,220,227,244,3.5
401,55,221,228,243,3.5
403,55,222,228,244,3.5
401,55,219,227,243,3.5
400,55,219,226,243,3.5
400,53,220,226,242,3.5
399,54,220,228,242,3.5
399,53,222,226,242,3.5
402,54,222,227,242,3.5
404,55,219,227,243,3.5
402,55,222,226,244,3.5
401,54,220,227,246,3.5
399,51,221,226,247,3.5
399,53,219,230,246,3.5
403,55,220,227,245,3.5
402,55,222,229,246,3.5
403,55,220,228,244,3.5
401,55,222,228,245,3.5
403,56,221,227,246,3.5
401,53,221,226,247,3.5
399,54,221,225,246,3.5
402,55,221,226,246,3.5
403,54,221,228,246,3.5
398,54,224,226,250,3.5
400,53,221,224,250,3.5
401,55,222,226,248,3.5
401,54,223,225,250,3.5
401,53,223,225,248,3.5
401,56,223,227,250,3.5
401,53,222,163,236,3.5
403,56,222,163,236,3.5
403,56,223,164,236,3.5
403,55,223,164,237,3.5
403,55,223,164,236,3.5
402,55,223,163,237,3.5
403,55,223,164,238,3.5
399,56,223,164,236,3.5
403,54,221,163,236,3.5
399,52,223,164,237,3.5
400,53,222,164,236,3.5
403,55,222,164,238,3.5
400,55,222,164,236,3.5
401,55,223,164,232,3.5
404,56,223,224,241,3.5
404,56,223,222,241,3.5
402,56,224,222,242,3.5
400,56,223,215,241,3.5
402,55,222,219,241,3.5
402,54,221,216,241,3.5
403,56,223,215,244,3.5
401,56,223,215,243,3.5
403,56,224,216,243,3.5
403,55,222,218,243,3.5
402,56,223,216,243,3.5
402,55,222,220,243,3.5
402,55,222,220,244,3.5
399,53,222,220,244,3.5
400,56,222,219,242,3.5
404,57,223,220,244,3.5
404,56,223,221,244,3.5
401,59,222,220,244,3.5
401,57,223,220,242,3.5
401,55,222,219,242,3.5
403,56,221,219,240,3.5
401,53,220,220,242,3.5
401,54,221,221,241,3.5
402,55,221,221,239,3.5
400,55,222,221,241,3.5
404,58,221,220,241,3.5
401,55,223,220,239,3.5
403,55,223,219,241,3.5
402,53,221,220,240,3.5
400,53,221,220,241,3.5
402,54,222,219,236,3.5
401,53,220,219,238,3.5
402,54,221,219,241,3.5
404,53,222,221,241,3.5
400,54,223,219,242,3.5
400,52,223,220,242,3.5
403,54,221,219,238,3.5
401,53,220,220,239,3.5
402,56,221,220,238,3.5
403,55,222,220,239,3.5
402,55,222,219,240,3.5
403,55,222,219,235,3.5
401,58,223,220,238,3.5
400,55,223,220,235,3.5
399,55,220,219,239,3.5
402,57,222,220,237,3.5
402,55,221,218,236,3.5
403,54,221,218,240,3.5
401,56,223,219,244,3.5
404,56,221,217,247,3.5
403,56,223,217,246,3.5
401,57,223,220,244,3.5
401,56,224,219,245,3.5
404,57,223,217,245,3.5
403,56,222,217,247,3.5
400,58,222,218,246,3.5
400,56,221,219,243,3.5
401,56,221,219,244,3.5
404,56,221,219,245,3.5
403,55,223,218,244,3.5
403,56,222,218,244,3.5
403,55,223,219,245,3.5
400,56,220,218,244,3.5
400,55,221,219,244,3.5
401,56,221,218,244,3.5
400,55,222,218,243,3.5
401,57,221,218,244,3.5
401,56,222,217,243,3.5
